instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret,time_limit_SAA
j30_5,proactive,10,4,inf,inf,0.0,600.0
j30_5,proactive,10,5,inf,inf,0.0,600.0
j30_5,proactive,10,6,inf,inf,0.0,600.0
j30_5,proactive,10,7,inf,inf,0.0,600.0
j30_5,proactive,10,8,inf,inf,0.0,600.0
j30_5,proactive,10,9,inf,inf,0.0,600.0
j30_5,proactive,10,10,inf,inf,0.0,600.0
j30_5,proactive,10,11,inf,inf,0.0,600.0
j30_5,proactive,10,12,inf,92.0,100.0,600.0
j30_5,proactive,10,13,inf,inf,0.0,600.0
j30_5,proactive,10,14,inf,inf,0.0,600.0
j30_5,proactive,10,15,inf,inf,0.0,600.0
j30_5,proactive,10,16,inf,91.0,100.0,600.0
j30_5,proactive,10,17,inf,inf,0.0,600.0
j30_5,proactive,10,18,inf,inf,0.0,600.0
j30_5,proactive,10,19,inf,93.0,100.0,600.0
j30_5,proactive,10,20,inf,inf,0.0,600.0
j30_5,proactive,10,21,inf,inf,0.0,600.0
j30_5,proactive,10,22,inf,inf,0.0,600.0
j30_5,proactive,10,23,inf,inf,0.0,600.0
j30_5,proactive,10,24,inf,inf,0.0,600.0
j30_5,proactive,10,25,inf,inf,0.0,600.0
j30_5,proactive,10,26,inf,inf,0.0,600.0
j30_5,proactive,10,27,inf,inf,0.0,600.0
j30_5,proactive,10,28,inf,88.0,100.0,600.0
j30_5,proactive,10,29,inf,92.0,100.0,600.0
j30_5,proactive,10,30,inf,inf,0.0,600.0
j30_5,proactive,10,31,inf,inf,0.0,600.0
j30_5,proactive,10,32,inf,inf,0.0,600.0
j30_5,proactive,10,33,inf,94.0,100.0,600.0
j30_5,proactive,10,34,inf,inf,0.0,600.0
j30_5,proactive,10,35,inf,inf,0.0,600.0
j30_5,proactive,10,36,inf,inf,0.0,600.0
j30_5,proactive,10,37,inf,inf,0.0,600.0
j30_5,proactive,10,38,inf,inf,0.0,600.0
j30_5,proactive,10,39,inf,97.0,100.0,600.0
j30_5,proactive,10,40,inf,inf,0.0,600.0
j30_5,proactive,10,41,inf,inf,0.0,600.0
j30_5,proactive,10,42,inf,inf,0.0,600.0
j30_5,proactive,10,43,inf,inf,0.0,600.0
j30_5,proactive,10,44,inf,91.0,100.0,600.0
j30_5,proactive,10,45,inf,inf,0.0,600.0
j30_5,proactive,10,46,inf,inf,0.0,600.0
j30_5,proactive,10,47,inf,inf,0.0,600.0
j30_5,proactive,10,48,inf,inf,0.0,600.0
j30_5,proactive,10,49,inf,89.0,100.0,600.0
j30_6,proactive,10,0,inf,inf,0.0,600.0
j30_6,proactive,10,1,inf,inf,0.0,600.0
j30_6,proactive,10,2,inf,inf,0.0,600.0
j30_6,proactive,10,3,inf,inf,0.0,600.0
j30_6,proactive,10,4,inf,inf,0.0,600.0
j30_6,proactive,10,5,inf,inf,0.0,600.0
j30_6,proactive,10,6,inf,inf,0.0,600.0
j30_6,proactive,10,7,inf,inf,0.0,600.0
j30_6,proactive,10,8,inf,inf,0.0,600.0
j30_6,proactive,10,9,inf,inf,0.0,600.0
j30_6,proactive,10,10,inf,inf,0.0,600.0
j30_6,proactive,10,11,inf,inf,0.0,600.0
j30_6,proactive,10,12,inf,inf,0.0,600.0
j30_6,proactive,10,13,inf,inf,0.0,600.0
j30_6,proactive,10,14,inf,inf,0.0,600.0
j30_6,proactive,10,15,inf,inf,0.0,600.0
j30_6,proactive,10,16,inf,inf,0.0,600.0
j30_6,proactive,10,17,inf,inf,0.0,600.0
j30_6,proactive,10,18,inf,inf,0.0,600.0
j30_6,proactive,10,19,inf,inf,0.0,600.0
j30_6,proactive,10,20,inf,inf,0.0,600.0
j30_6,proactive,10,21,inf,inf,0.0,600.0
j30_6,proactive,10,22,inf,inf,0.0,600.0
j30_6,proactive,10,23,inf,inf,0.0,600.0
j30_6,proactive,10,24,inf,inf,0.0,600.0
j30_6,proactive,10,25,inf,inf,0.0,600.0
j30_6,proactive,10,26,inf,inf,0.0,600.0
j30_6,proactive,10,27,inf,inf,0.0,600.0
j30_6,proactive,10,28,inf,inf,0.0,600.0
j30_6,proactive,10,29,inf,inf,0.0,600.0
j30_6,proactive,10,30,inf,inf,0.0,600.0
j30_6,proactive,10,31,inf,inf,0.0,600.0
j30_6,proactive,10,32,inf,inf,0.0,600.0
j30_6,proactive,10,33,inf,inf,0.0,600.0
j30_6,proactive,10,34,inf,inf,0.0,600.0
j30_6,proactive,10,35,inf,inf,0.0,600.0
j30_6,proactive,10,36,inf,inf,0.0,600.0
j30_6,proactive,10,37,inf,inf,0.0,600.0
j30_6,proactive,10,38,inf,inf,0.0,600.0
j30_6,proactive,10,39,inf,inf,0.0,600.0
j30_6,proactive,10,40,inf,inf,0.0,600.0
j30_6,proactive,10,41,inf,inf,0.0,600.0
j30_6,proactive,10,42,inf,inf,0.0,600.0
j30_6,proactive,10,43,inf,inf,0.0,600.0
j30_6,proactive,10,44,inf,inf,0.0,600.0
j30_6,proactive,10,45,inf,inf,0.0,600.0
j30_6,proactive,10,46,inf,inf,0.0,600.0
j30_6,proactive,10,47,inf,inf,0.0,600.0
j30_6,proactive,10,48,inf,inf,0.0,600.0
j30_6,proactive,10,49,inf,inf,0.0,600.0
j30_7,proactive,10,0,inf,70.0,100.0,600.0
j30_7,proactive,10,1,inf,72.0,100.0,600.0
j30_7,proactive,10,2,inf,71.0,100.0,600.0
j30_7,proactive,10,3,inf,inf,0.0,600.0
j30_7,proactive,10,4,inf,inf,0.0,600.0
j30_7,proactive,10,5,inf,inf,0.0,600.0
j30_7,proactive,10,6,inf,70.0,100.0,600.0
j30_7,proactive,10,7,inf,inf,0.0,600.0
j30_7,proactive,10,8,inf,inf,0.0,600.0
j30_7,proactive,10,9,inf,inf,0.0,600.0
j30_7,proactive,10,10,inf,inf,0.0,600.0
j30_7,proactive,10,11,inf,inf,0.0,600.0
j30_7,proactive,10,12,inf,72.0,100.0,600.0
j30_7,proactive,10,13,inf,inf,0.0,600.0
j30_7,proactive,10,14,inf,inf,0.0,600.0
j30_7,proactive,10,15,inf,inf,0.0,600.0
j30_7,proactive,10,16,inf,inf,0.0,600.0
j30_7,proactive,10,17,inf,inf,0.0,600.0
j30_7,proactive,10,18,inf,72.0,100.0,600.0
j30_7,proactive,10,19,inf,inf,0.0,600.0
j30_7,proactive,10,20,inf,71.0,100.0,600.0
j30_7,proactive,10,21,inf,inf,0.0,600.0
j30_7,proactive,10,22,inf,inf,0.0,600.0
j30_7,proactive,10,23,inf,72.0,100.0,600.0
j30_7,proactive,10,24,inf,inf,0.0,600.0
j30_7,proactive,10,25,inf,inf,0.0,600.0
j30_7,proactive,10,26,inf,inf,0.0,600.0
j30_7,proactive,10,27,inf,inf,0.0,600.0
j30_7,proactive,10,28,inf,inf,0.0,600.0
j30_7,proactive,10,29,inf,inf,0.0,600.0
j30_7,proactive,10,30,inf,70.0,100.0,600.0
j30_7,proactive,10,31,inf,71.0,100.0,600.0
j30_7,proactive,10,32,inf,70.0,100.0,600.0
j30_7,proactive,10,33,inf,inf,0.0,600.0
j30_7,proactive,10,34,inf,72.0,100.0,600.0
j30_7,proactive,10,35,inf,inf,0.0,600.0
j30_7,proactive,10,36,inf,70.0,100.0,600.0
j30_7,proactive,10,37,inf,inf,0.0,600.0
j30_7,proactive,10,38,inf,inf,0.0,600.0
j30_7,proactive,10,39,inf,inf,0.0,600.0
j30_7,proactive,10,40,inf,inf,0.0,600.0
j30_7,proactive,10,41,inf,inf,0.0,600.0
j30_7,proactive,10,42,inf,inf,0.0,600.0
j30_7,proactive,10,43,inf,71.0,100.0,600.0
j30_7,proactive,10,44,inf,inf,0.0,600.0
j30_7,proactive,10,45,inf,70.0,100.0,600.0
j30_7,proactive,10,46,inf,inf,0.0,600.0
j30_7,proactive,10,47,inf,inf,0.0,600.0
j30_7,proactive,10,48,inf,73.0,100.0,600.0
j30_7,proactive,10,49,inf,70.0,100.0,600.0
j30_8,proactive,10,0,inf,inf,0.0,600.0
j30_8,proactive,10,1,inf,inf,0.0,600.0
j30_8,proactive,10,2,inf,inf,0.0,600.0
j30_8,proactive,10,3,inf,inf,0.0,600.0
j30_8,proactive,10,4,inf,inf,0.0,600.0
j30_8,proactive,10,5,inf,inf,0.0,600.0
j30_8,proactive,10,6,inf,inf,0.0,600.0
j30_8,proactive,10,7,inf,inf,0.0,600.0
j30_8,proactive,10,8,inf,inf,0.0,600.0
j30_8,proactive,10,9,inf,inf,0.0,600.0
j30_8,proactive,10,10,inf,inf,0.0,600.0
j30_8,proactive,10,11,inf,inf,0.0,600.0
j30_8,proactive,10,12,inf,inf,0.0,600.0
j30_8,proactive,10,13,inf,inf,0.0,600.0
j30_8,proactive,10,14,inf,inf,0.0,600.0
j30_8,proactive,10,15,inf,inf,0.0,600.0
j30_8,proactive,10,16,inf,inf,0.0,600.0
j30_8,proactive,10,17,inf,inf,0.0,600.0
j30_8,proactive,10,18,inf,inf,0.0,600.0
j30_8,proactive,10,19,inf,inf,0.0,600.0
j30_8,proactive,10,20,inf,inf,0.0,600.0
j30_8,proactive,10,21,inf,inf,0.0,600.0
j30_8,proactive,10,22,inf,inf,0.0,600.0
j30_8,proactive,10,23,inf,inf,0.0,600.0
j30_8,proactive,10,24,inf,inf,0.0,600.0
j30_8,proactive,10,25,inf,inf,0.0,600.0
j30_8,proactive,10,26,inf,inf,0.0,600.0
j30_8,proactive,10,27,inf,inf,0.0,600.0
j30_8,proactive,10,28,inf,inf,0.0,600.0
j30_8,proactive,10,29,inf,inf,0.0,600.0
j30_8,proactive,10,30,inf,inf,0.0,600.0
j30_8,proactive,10,31,inf,inf,0.0,600.0
j30_8,proactive,10,32,inf,inf,0.0,600.0
j30_8,proactive,10,33,inf,inf,0.0,600.0
j30_8,proactive,10,34,inf,inf,0.0,600.0
j30_8,proactive,10,35,inf,inf,0.0,600.0
j30_8,proactive,10,36,inf,inf,0.0,600.0
j30_8,proactive,10,37,inf,inf,0.0,600.0
j30_8,proactive,10,38,inf,inf,0.0,600.0
j30_8,proactive,10,39,inf,inf,0.0,600.0
j30_8,proactive,10,40,inf,inf,0.0,600.0
j30_8,proactive,10,41,inf,inf,0.0,600.0
j30_8,proactive,10,42,inf,inf,0.0,600.0
j30_8,proactive,10,43,inf,inf,0.0,600.0
j30_8,proactive,10,44,inf,inf,0.0,600.0
j30_8,proactive,10,45,inf,inf,0.0,600.0
j30_8,proactive,10,46,inf,inf,0.0,600.0
j30_8,proactive,10,47,inf,inf,0.0,600.0
j30_8,proactive,10,48,inf,inf,0.0,600.0
j30_8,proactive,10,49,inf,inf,0.0,600.0
j30_9,proactive,10,0,inf,91.0,100.0,600.0
j30_9,proactive,10,1,inf,103.0,100.0,600.0
j30_9,proactive,10,2,inf,102.0,100.0,600.0
j30_9,proactive,10,3,inf,98.0,100.0,600.0
j30_9,proactive,10,4,inf,103.0,100.0,600.0
j30_9,proactive,10,5,inf,inf,0.0,600.0
j30_9,proactive,10,6,inf,inf,0.0,600.0
j30_9,proactive,10,7,inf,94.0,100.0,600.0
j30_9,proactive,10,8,inf,inf,0.0,600.0
j30_9,proactive,10,9,inf,91.0,100.0,600.0
j30_9,proactive,10,10,inf,95.0,100.0,600.0
j30_9,proactive,10,11,inf,100.0,100.0,600.0
j30_9,proactive,10,12,inf,97.0,100.0,600.0
j30_9,proactive,10,13,inf,97.0,100.0,600.0
j30_9,proactive,10,14,inf,109.0,100.0,600.0
j30_9,proactive,10,15,inf,93.0,100.0,600.0
j30_9,proactive,10,16,inf,102.0,100.0,600.0
j30_9,proactive,10,17,inf,112.0,100.0,600.0
j30_9,proactive,10,18,inf,99.0,100.0,600.0
j30_9,proactive,10,19,inf,102.0,100.0,600.0
j30_9,proactive,10,20,inf,95.0,100.0,600.0
j30_9,proactive,10,21,inf,inf,0.0,600.0
j30_9,proactive,10,22,inf,96.0,100.0,600.0
j30_9,proactive,10,23,inf,89.0,100.0,600.0
j30_9,proactive,10,24,inf,94.0,100.0,600.0
j30_9,proactive,10,25,inf,98.0,100.0,600.0
j30_9,proactive,10,26,inf,87.0,100.0,600.0
j30_9,proactive,10,27,inf,101.0,100.0,600.0
j30_9,proactive,10,28,inf,inf,0.0,600.0
j30_9,proactive,10,29,inf,inf,0.0,600.0
j30_9,proactive,10,30,inf,inf,0.0,600.0
j30_9,proactive,10,31,inf,inf,0.0,600.0
j30_9,proactive,10,32,inf,100.0,100.0,600.0
j30_9,proactive,10,33,inf,97.0,100.0,600.0
j30_9,proactive,10,34,inf,90.0,100.0,600.0
j30_9,proactive,10,35,inf,99.0,100.0,600.0
j30_9,proactive,10,36,inf,104.0,100.0,600.0
j30_9,proactive,10,37,inf,107.0,100.0,600.0
j30_9,proactive,10,38,inf,inf,0.0,600.0
j30_9,proactive,10,39,inf,100.0,100.0,600.0
j30_9,proactive,10,40,inf,102.0,100.0,600.0
j30_9,proactive,10,41,inf,104.0,100.0,600.0
j30_9,proactive,10,42,inf,inf,0.0,600.0
j30_9,proactive,10,43,inf,88.0,100.0,600.0
j30_9,proactive,10,44,inf,100.0,100.0,600.0
j30_9,proactive,10,45,inf,89.0,100.0,600.0
j30_9,proactive,10,46,inf,101.0,100.0,600.0
j30_9,proactive,10,47,inf,97.0,100.0,600.0
j30_9,proactive,10,48,inf,105.0,100.0,600.0
j30_9,proactive,10,49,inf,103.0,100.0,600.0
j30_10,proactive,10,0,inf,inf,0.0,600.0
j30_10,proactive,10,1,inf,inf,0.0,600.0
j30_10,proactive,10,2,inf,inf,0.0,600.0
j30_10,proactive,10,3,inf,inf,0.0,600.0
j30_10,proactive,10,4,inf,inf,0.0,600.0
j30_10,proactive,10,5,inf,inf,0.0,600.0
j30_10,proactive,10,6,inf,inf,0.0,600.0
j30_10,proactive,10,7,inf,inf,0.0,600.0
j30_10,proactive,10,8,inf,inf,0.0,600.0
j30_10,proactive,10,9,inf,inf,0.0,600.0
j30_10,proactive,10,10,inf,inf,0.0,600.0
j30_10,proactive,10,11,inf,inf,0.0,600.0
j30_10,proactive,10,12,inf,inf,0.0,600.0
j30_10,proactive,10,13,inf,86.0,100.0,600.0
j30_10,proactive,10,14,inf,inf,0.0,600.0
j30_10,proactive,10,15,inf,inf,0.0,600.0
j30_10,proactive,10,16,inf,inf,0.0,600.0
j30_10,proactive,10,17,inf,inf,0.0,600.0
j30_10,proactive,10,18,inf,inf,0.0,600.0
j30_10,proactive,10,19,inf,inf,0.0,600.0
j30_10,proactive,10,20,inf,inf,0.0,600.0
j30_10,proactive,10,21,inf,inf,0.0,600.0
j30_10,proactive,10,22,inf,inf,0.0,600.0
j30_10,proactive,10,23,inf,inf,0.0,600.0
j30_10,proactive,10,24,inf,inf,0.0,600.0
j30_10,proactive,10,25,inf,inf,0.0,600.0
j30_10,proactive,10,26,inf,inf,0.0,600.0
j30_10,proactive,10,27,inf,inf,0.0,600.0
j30_10,proactive,10,28,inf,inf,0.0,600.0
j30_10,proactive,10,29,inf,inf,0.0,600.0
j30_10,proactive,10,30,inf,inf,0.0,600.0
j30_10,proactive,10,31,inf,inf,0.0,600.0
j30_10,proactive,10,32,inf,inf,0.0,600.0
j30_10,proactive,10,33,inf,inf,0.0,600.0
j30_10,proactive,10,34,inf,inf,0.0,600.0
j30_10,proactive,10,35,inf,inf,0.0,600.0
j30_10,proactive,10,36,inf,inf,0.0,600.0
j30_10,proactive,10,37,inf,inf,0.0,600.0
j30_10,proactive,10,38,inf,inf,0.0,600.0
j30_10,proactive,10,39,inf,inf,0.0,600.0
j30_10,proactive,10,40,inf,inf,0.0,600.0
j30_10,proactive,10,41,inf,inf,0.0,600.0
j30_10,proactive,10,42,inf,inf,0.0,600.0
j30_10,proactive,10,43,inf,inf,0.0,600.0
j30_10,proactive,10,44,inf,inf,0.0,600.0
j30_10,proactive,10,45,inf,inf,0.0,600.0
j30_10,proactive,10,46,inf,inf,0.0,600.0
j30_10,proactive,10,47,inf,75.0,100.0,600.0
j30_10,proactive,10,48,inf,inf,0.0,600.0
j30_10,proactive,10,49,inf,inf,0.0,600.0
j30_11,proactive,10,0,62.0,62.0,0.0,
j30_11,proactive,10,1,62.0,62.0,0.0,
j30_11,proactive,10,2,62.0,62.0,0.0,
j30_11,proactive,10,3,inf,62.0,100.0,
j30_11,proactive,10,4,63.0,63.0,0.0,
j30_11,proactive,10,5,62.0,62.0,0.0,
j30_11,proactive,10,6,62.0,62.0,0.0,
j30_11,proactive,10,7,inf,62.0,100.0,
j30_11,proactive,10,8,62.0,62.0,0.0,
j30_11,proactive,10,9,63.0,63.0,0.0,
j30_11,proactive,10,10,inf,62.0,100.0,
j30_11,proactive,10,11,inf,62.0,100.0,
